ID	UniProt ID	Average Intensity	Gene symbol	Gene description
ENSG00000158019	Q9NXR7	41.824075985682136	BRE	Protein BRE (Brain and reproductive organ-expressed protein)(BRCA1/BRCA2-containing complex subunit 45) [Source:UniProtKB/Swiss-Prot;Acc:Q9NXR7]
ENSG00000159377	P28070	1420.4121842438362	PSMB4	Proteasome subunit beta type-4 Precursor (Proteasome beta chain)(EC 3.4.25.1)(Macropain beta chain)(Multicatalytic endopeptidase complex beta chain)(Proteasome chain 3)(HSN3)(HsBPROS26) [Source:UniProtKB/Swiss-Prot;Acc:P28070]
ENSG00000160072	Q5T9A4	244.85934038857476	ATAD3B	ATPase family AAA domain-containing protein 3B  [Source:UniProtKB/Swiss-Prot;Acc:Q5T9A4]
ENSG00000162191	Q04323	192.4915790484981	UBXN1	UBX domain-containing protein 1 (SAPK substrate protein 1)(UBA/UBX 33.3 kDa protein) [Source:UniProtKB/Swiss-Prot;Acc:Q04323]
ENSG00000162734	Q15121	506.16949272350024	PEA15	Astrocytic phosphoprotein PEA-15 (Phosphoprotein enriched in diabetes)(PED) [Source:UniProtKB/Swiss-Prot;Acc:Q15121]
ENSG00000162736	Q92542-2	27.95343900016764	NCSTN	Nicastrin Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q92542]
ENSG00000162961	Q9C005	139.85807380864085	DPY30	Protein dpy-30 homolog (Dpy-30-like protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9C005]
ENSG00000163527	Q8TCJ2	133.7367801393886	STT3B	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B)(STT3-B)(EC 2.4.1.119)(Source of immunodominant MHC-associated peptides homolog) [Source:UniProtKB/Swiss-Prot;Acc:Q8TCJ2]
ENSG00000163634	Q6I9Y2	18.44231780166476	THOC7	THO complex subunit 7 homolog (Ngg1-interacting factor 3-like protein 1-binding protein 1)(NIF3L1-binding protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q6I9Y2]
ENSG00000163636	Q15008	778.5590955319569	PSMD6	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit S10)(p42A)(Proteasome regulatory particle subunit p44S10)(Phosphonoformate immuno-associated protein 4)(Breast cancer-associated protein SGA-113M) [Source:UniProtKB/Swiss-P
ENSG00000163807	Q96AT1	27.58667572596	KIAA1143	Uncharacterized protein KIAA1143  [Source:UniProtKB/Swiss-Prot;Acc:Q96AT1]
ENSG00000164961	Q12768	0.9097758194540955	KIAA0196	Strumpellin  [Source:UniProtKB/Swiss-Prot;Acc:Q12768]
ENSG00000164985	O75475,O75475-3	70.64784166774427	PSIP1	PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor)(Transcriptional coactivator p75/p52)(Dense fine speckles 70 kDa protein)(DFS 70)(CLL-associated antigen KW-7) [Source:UniProtKB/Swiss-Prot;Acc:O75475]
ENSG00000165527	P62330	625.5323759318417	ARF6	ADP-ribosylation factor 6  [Source:UniProtKB/Swiss-Prot;Acc:P62330]
ENSG00000166974	Q15555	57.084708935642155	MAPRE2	Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2)(End-binding protein 2)(EB2) [Source:UniProtKB/Swiss-Prot;Acc:Q15555]
ENSG00000167085	P35232	2365.8535848955876	PHB	Prohibitin  [Source:UniProtKB/Swiss-Prot;Acc:P35232]
ENSG00000168522	P49354	21.548861678775435	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58)(EC 2.5.1.59)(CAAX farnesyltransferase subunit alpha)(Ras proteins prenyltransferase alpha)(FTase-alpha)(Type I protein geranyl-geranyltransferase subunit alpha)(GGTa
ENSG00000168653	O43920	206.61124806781237	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (NADH-ubiquinone oxidoreductase 15 kDa subunit)(Complex I-15 kDa)(CI-15 kDa) [Source:UniProtKB/Swiss-Prot;Acc:O43920]
ENSG00000168906	P31153	816.2573445215803	MAT2A	S-adenosylmethionine synthetase isoform type-2 (AdoMet synthetase 2)(EC 2.5.1.6)(Methionine adenosyltransferase 2)(Methionine adenosyltransferase II)(MAT-II) [Source:UniProtKB/Swiss-Prot;Acc:P31153]
ENSG00000168958	Q9GZY8-2	8.391752758648364	MFF	Mitochondrial fission factor  [Source:UniProtKB/Swiss-Prot;Acc:Q9GZY8]
ENSG00000169020	P56385	1003.3863949604913	ATP5I	ATP synthase subunit e, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P56385]
ENSG00000169045	P31943	6486.996355239618	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Source:UniProtKB/Swiss-Prot;Acc:P31943]
ENSG00000169100	P12236	8531.957030853104	SLC25A6	ADP/ATP translocase 3 (Adenine nucleotide translocator 2)(ANT 3)(ADP,ATP carrier protein 3)(Solute carrier family 25 member 6)(ADP,ATP carrier protein, isoform T2) [Source:UniProtKB/Swiss-Prot;Acc:P12236]
ENSG00000170035	Q969T4	83.49619892015431	UBE2E3	Ubiquitin-conjugating enzyme E2 E3 (EC 6.3.2.19)(Ubiquitin-protein ligase E3)(Ubiquitin carrier protein E3)(Ubiquitin-conjugating enzyme E2-23 kDa)(UbcH9)(UbcM2) [Source:UniProtKB/Swiss-Prot;Acc:Q969T4]
ENSG00000170889	P46781	2886.83874278455	RPS9	40S ribosomal protein S9  [Source:UniProtKB/Swiss-Prot;Acc:P46781]
ENSG00000173660	P07919	471.7784023564401	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial Precursor (Ubiquinol-cytochrome c reductase complex 11 kDa protein)(Cytochrome c1 non-heme 11 kDa protein)(Mitochondrial hinge protein)(Complex III subunit VIII)(Complex III subunit 6) [Source:UniProtKB/Sw
ENSG00000174231	Q6P2Q9	180.02323598165987	PRPF8	Pre-mRNA-processing-splicing factor 8 (Splicing factor Prp8)(PRP8 homolog)(220 kDa U5 snRNP-specific protein)(p220) [Source:UniProtKB/Swiss-Prot;Acc:Q6P2Q9]
ENSG00000175550	Q14919	302.4876853409522	DRAP1	Dr1-associated corepressor (Dr1-associated protein 1)(Negative co-factor 2-alpha)(NC2-alpha) [Source:UniProtKB/Swiss-Prot;Acc:Q14919]
ENSG00000177963	Q9NPQ8,Q9NPQ8-4	255.52996244279666	RIC8A	Synembryn-A (Protein Ric-8A) [Source:UniProtKB/Swiss-Prot;Acc:Q9NPQ8]
ENSG00000178982	Q9UBQ5	844.7998509456636	EIF3K	Eukaryotic translation initiation factor 3 subunit K (eIF3k)(Eukaryotic translation initiation factor 3 subunit 12)(eIF-3 p25)(eIF-3 p28)(Muscle-specific gene M9 protein)(PLAC-24) [Source:UniProtKB/Swiss-Prot;Acc:Q9UBQ5]
ENSG00000179010	Q9Y605	53.39225670328874	MRFAP1	MORF4 family-associated protein 1 (Protein PGR1)(Protein associated with MRG of 14 kDa) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y605]
ENSG00000182117	Q9NPE3	972.8504206468974	NOLA3	H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein family A member 3)(snoRNP protein NOP10) [Source:UniProtKB/Swiss-Prot;Acc:Q9NPE3]
ENSG00000182196	Q66PJ3	28.60335769081933	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4)(Aip-4)(SR-15)(SRp25)(SR-25)(HSP-975)(HSVI-binding protein) [Source:UniProtKB/Swiss-Prot;Acc:Q66PJ3]
ENSG00000182512	Q86SX6	118.87356147649362	GLRX5	Glutaredoxin-related protein 5  [Source:UniProtKB/Swiss-Prot;Acc:Q86SX6]
ENSG00000184752	Q9UI09	70.83489884780514	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (NADH-ubiquinone oxidoreductase subunit B17.2)(Complex I-B17.2)(CI-B17.2)(CIB17.2)(13 kDa differentiation-associated protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9UI09]
ENSG00000185164	Q5JPE7-2	166.64188422896854	NOMO2	Nodal modulator 2 Precursor (pM5 protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q5JPE7]
ENSG00000185624	P07237	6398.367410555088	P4HB	Protein disulfide-isomerase Precursor (PDI)(EC 5.3.4.1)(Prolyl 4-hydroxylase subunit beta)(Cellular thyroid hormone-binding protein)(p55) [Source:UniProtKB/Swiss-Prot;Acc:P07237]
ENSG00000185721	Q9Y295	257.9826514756705	DRG1	Developmentally-regulated GTP-binding protein 1 (DRG-1)(Neural precursor cell expressed developmentally down-regulated protein 3)(NEDD-3) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y295]
ENSG00000186063	Q96BJ3	22.62523077854822	AIDA	Axin interactor, dorsalization associated protein (Axin interaction partner and dorsalization antagonist) [Source:UniProtKB/Swiss-Prot;Acc:Q96BJ3]
ENSG00000186184	Q9Y2S0	117.26495504413766	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2)(DNA-directed RNA polymerase I subunit D)(DNA-directed RNA polymerase I 16 kDa polypeptide)(RPA16)(RPC16)(hRPA19)(AC19) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2S0]
ENSG00000186298	P36873	1879.174498864821	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G)(EC 3.1.3.16)(Protein phosphatase 1C catalytic subunit) [Source:UniProtKB/Swiss-Prot;Acc:P36873]
ENSG00000187446	Q99653	135.42052426726633	AC012652.1	Calcium-binding protein p22 (Calcium-binding protein CHP)(Calcineurin homologous protein)(Calcineurin B homolog) [Source:UniProtKB/Swiss-Prot;Acc:Q99653]
ENSG00000188690	P10746	10.853279961830832	UROS	Uroporphyrinogen-III synthase (UROIIIS)(UROS)(EC 4.2.1.75)(Hydroxymethylbilane hydrolyase [cyclizing])(Uroporphyrinogen-III cosynthetase) [Source:UniProtKB/Swiss-Prot;Acc:P10746]
ENSG00000188976	Q9Y3T9	59.55872463681311	NOC2L	Nucleolar complex protein 2 homolog (Protein NOC2 homolog)(NOC2-like) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y3T9]
ENSG00000196419	P12956	2404.751365523678	XRCC6	ATP-dependent DNA helicase 2 subunit 1 (ATP-dependent DNA helicase II 70 kDa subunit)(Lupus Ku autoantigen protein p70)(Ku70)(70 kDa subunit of Ku antigen)(Thyroid-lupus autoantigen)(TLAA)(CTC box-binding factor 75 kDa subunit)(CTCBF)(CTC75)(DNA-repair p
ENSG00000197622	Q9NRR8	20.936177460418108	CDC42SE1	CDC42 small effector protein 1 (Small effector of CDC42 protein 1)(CDC42-binding protein SCIP1) [Source:UniProtKB/Swiss-Prot;Acc:Q9NRR8]
ENSG00000198189	Q8NBQ5	245.60552852534505	DHRS8	Estradiol 17-beta-dehydrogenase 11 Precursor (EC 1.1.1.62)(17-beta-hydroxysteroid dehydrogenase 11)(17-beta-HSD 11)(17betaHSD11)(17bHSD11)(17-beta-HSD XI)(17betaHSDXI)(Dehydrogenase/reductase SDR family member 8)(Retinal short-chain dehydrogenase/reducta
ENSG00000198218	Q2TAL8	54.45214426764687	QRICH1	Glutamine-rich protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q2TAL8]
ENSG00000198830	P05204	6259.2341586550665	HMGN2	Non-histone chromosomal protein HMG-17 (High-mobility group nucleosome-binding domain-containing protein 2) [Source:UniProtKB/Swiss-Prot;Acc:P05204]
ENSG00000205323	P82979	359.64949556779186	AC073487.34	Nuclear protein Hcc-1 (Proliferation-associated cytokine-inducible protein CIP29)(Cytokine-induced protein of 29 kDa) [Source:UniProtKB/Swiss-Prot;Acc:P82979]
ENSG00000205981	Q96DA6	85.57436809035099	DNAJC19	Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19) [Source:UniProtKB/Swiss-Prot;Acc:Q96DA6]
ENSG00000213281	P01111	283.32582319850843	NRAS	GTPase NRas Precursor (Transforming protein N-Ras) [Source:UniProtKB/Swiss-Prot;Acc:P01111]
ENSG00000213676	Q99941-2	0.32964166723089583	CREBL1	Cyclic AMP-dependent transcription factor ATF-6 beta (Activating transcription factor 6 beta)(ATF6-beta)(cAMP-responsive element-binding protein-like 1)(cAMP response element-binding protein-related protein)(Creb-rp)(Protein G13) [Contains Processed cycl
ENSG00000214753	Q1KMD3	524.4517611419553	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2)(SAF-A2) [Source:UniProtKB/Swiss-Prot;Acc:Q1KMD3]
