ID	Gene symbol ID	Transpath ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000105221	AKT2	MO000293358	56.243657406021796	P31751	AKT serine/threonine kinase 2	AKT2	208	10.1921049	18.559983	1066	15.83861	1515	11.968988	904	15.250273	1131	1165.571009	0.973770702	-1.007859792	0.241248321	0.962657657	-0.046818785	10.18151805	19.941283	1137	24.024626	1253	13.377196	996	15.063354	1277	10.26406313	10.27476987	9.91247431	10.22886086	10.28572051	10.39585486	9.94184629	10.00309398	NM_001243027,NM_001243028,NM_001330511,NM_001626	0.061256526	0.172828116	-0.061256526
ENSG00000105229	PIAS4	MO000084645	NaN		protein inhibitor of activated STAT 4	PIAS4	51588	7.522031792	3.375436	121	4.284187	248	3.777983	175	4.255786	193	238.4143509	8.0044E-4	1.590367447	0.1834349	2.63229E-4	3.649033703	8.194873811	7.08119	246	8.390396	274	6.251763	286	7.821417	413	7.49549869	7.7896556	7.58069469	7.78058582	8.03310377	8.15059004	7.92716834	8.0930438	NM_015897	4.581959111	0.146845924	4.581959111
ENSG00000105329	TGFB1	MO000020325,MO000021287	11.54220153541095	P01137	transforming growth factor beta 1	TGFB1	7040	11.69979577	92.633636	2831	77.753433	3846	92.54245	3653	74.131203	2874	2316.179726	7.6133E-4	-2.547683207	0.368313252	2.49135E-4	-3.663147848	10.35076747	56.551064	1675	22.826668	636	53.536835	2087	20.201981	910	11.45491031	11.42473528	11.45494041	11.37707817	10.95415746	10.22711734	10.90689243	10.14568543	NM_000660	36.69953164	0.036758733	-36.69953164
ENSG00000105401	CDC37	MO000084635	1229.420259934702	Q16543	cell division cycle 37	CDC37	11140	10.85965435	71.481667	1332	85.495712	2578	67.632339	1628	80.24498	1896	2650.821717	1.16076E-4	1.853005609	0.213891661	3.18E-5	4.160364393	11.74965554	137.40683	2481	204.095764	3466	131.912643	3135	195.545761	5368	10.93103214	11.19182247	10.88847992	11.13534179	11.41560169	11.74081143	11.37910807	11.70449286	NM_007065	5.958638924	0.149363169	5.958638924
ENSG00000106799	TGFBR1	MO000017447,MO000020325,MO000083732	8.472859760362425	P36897-3	transforming growth factor beta receptor 1	TGFBR1	7046	9.193565246	5.454378	397	6.900262	794	5.685208	534	6.866721	619	978.7389176	1.63382E-4	2.342688557	0.301362416	4.59E-5	4.075376047	10.42202444	21.906723	1542	11.314103	731	22.406628	2076	12.803496	1335	9.2976552	9.57412099	9.32854548	9.56647847	10.42255582	9.77754719	10.44310221	9.88495369	NM_001130916,NM_001306210,NM_004612	8.241300699	0.149061324	8.241300699
ENSG00000107643	MAPK8	MO000007821,MO000022229,MO000030998,MO000033485,MO000035654	24.878764667950193	P45983-3	mitogen-activated protein kinase 8	MAPK8	5599	8.70993269	4.872414	330	3.475234	380	6.646133	580	4.355168	370	461.269615	0.372727283	1.203796346	0.250564544	0.285541379	1.067953741	8.976687019	6.211877	396	6.967811	425	4.773946	414	9.296207	919	8.71634634	8.55622329	8.97760584	8.72826151	8.83517727	8.91899786	8.64383427	9.177832	NM_001278547,NM_001278548,NM_001323302,NM_001323320,NM_001323321,NM_001323322,NM_001323323,NM_001323324,NM_001323325,NM_001323326,NM_001323327,NM_001323328,NM_001323329,NM_001323330,NM_001323331,NM_139046,NM_139049,NR_136583,NR_136584,NR_136585	1.53294663	0.174014101	1.53294663
ENSG00000107779	BMPR1A	MO000019069	NaN		bone morphogenetic protein receptor type 1A	BMPR1A	657	9.331171202	13.973101	564	10.365443	677	13.622847	710	11.528051	590	494.2823282	9.31E-16	-1.87228992	0.108113171	5.81E-17	-8.369043709	8.428155456	7.872399	308	8.134827	299	7.585343	391	7.204591	428	9.20533662	9.06732642	9.18351389	9.15670258	8.65941478	8.65800238	8.62946533	8.56399995	NM_004329	14.8967768	0.060618197	-14.8967768
ENSG00000108389	MTMR4	MO000215625,MO000215626	NaN		myotubularin related protein 4	MTMR4	9110	9.47283721	10.626641	691	6.393844	673	10.714227	900	6.459325	533	812.0937972	0.211217783	1.285791279	0.248816825	0.144971817	1.457523907	9.835443326	15.540743	979	10.150208	602	15.0003	1244	9.840501	943	9.67558213	9.37651767	9.68353796	9.38145767	9.94228844	9.54975083	9.91098785	9.52627515	NM_004687	2.089013853	0.17357765	2.089013853
ENSG00000108443	RPS6KB1	MO000089506	NaN		ribosomal protein S6 kinase B1	RPS6KB1	6198	9.669700725	12.748909	762	8.44572	824	12.437815	960	8.56044	664	842.2776265	0.553293239	1.069170317	0.131504647	0.463100395	0.733751187	9.765028893	12.268536	713	13.449217	733	13.005767	991	13.929694	1215	9.79299284	9.57331586	9.77243397	9.59265082	9.70243193	9.74964236	9.7478607	9.77384874	NM_001272042,NM_001272043,NM_001272044,NM_001272060,NM_003161	0.822586048	0.115888384	0.822586048
ENSG00000108861	DUSP3	MO000033404	455.2686652938472	P51452	dual specificity phosphatase 3	DUSP3	1845	10.05247858	11.247464	517	23.496399	1748	12.184591	724	22.530005	1314	1046.345364	0.927016376	-1.030502312	0.322348099	0.893027026	-0.134474939	10.00948797	21.06529	938	20.139431	844	20.231735	1186	19.452728	1318	9.5909708	10.33201799	9.65460376	10.29042162	10.04662149	9.98004905	10.01120912	9.95336794	NM_004090	0.107833297	0.39867658	-0.107833297
ENSG00000108984	MAP2K6	MO000009415,MO000019341,MO000019344,MO000022211	15.325587029775981	P52564	mitogen-activated protein kinase kinase 6	MAP2K6	5608	5.215845526	1.455692	31	0.14528	36	2.230372	61	0.107373	21	22.57829922	5.58E-6	-4.67861202	0.457927349	1.17E-6	-4.861209102	2.998610476	0.046049	7	0.041982	6	0.066092	13	0.030809	7	4.69484459	4.56320612	5.03422882	4.35759111	3.82922972	3.78459663	3.96723664	3.64993524	NM_001330450,NM_002758	7.805727201	0.284052337	-7.805727201
ENSG00000109670	FBXW7	MO000041500,MO000044588,MO000180297,MO000180299	NaN		F-box and WD repeat domain containing 7	FBXW7	55294	8.393675668	5.16797	284	4.017703	358	5.35994	372	4.554563	315	290.5574854	0.007797246	-1.370132152	0.154825672	0.003342308	-2.934365116	7.93545085	3.376936	172	4.421284	222	3.678271	258	4.759424	386	8.31541483	8.22399394	8.32852005	8.31871976	7.87446737	8.09905407	7.97510499	8.161699	NM_001013415,NM_001257069,NM_001349798,NM_018315,NM_033632	9.396776574	0.048764043	-9.396776574
ENSG00000111206	FOXM1	MO000026496,MO000028099,MO000088314,MO000332718,MO000338489	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732
ENSG00000111266	DUSP16	MO000036550,MO000103285	NaN		dual specificity phosphatase 16	DUSP16	80824	6.177809834	0.886055	63	0.658169	75	0.838447	77	0.77422	70	258.8361352	5.05E-14	6.156214128	0.33338208	3.69E-15	7.864980062	8.798561512	7.229556	493	3.612673	232	8.156456	733	3.689751	383	6.88329245	6.77296499	6.84434565	6.88539454	8.5603803	7.88573515	8.67917645	7.908247	NM_030640	49.88964911	0.05253097	49.88964911
ENSG00000112062	MAPK14	MO000009339,MO000022208,MO000059863	388.1837785177519	Q16539,Q16539-2	mitogen-activated protein kinase 14	MAPK14	1432	10.00172871	16.916278	808	11.537889	894	22.027355	1368	15.973361	979	1491.542769	9.74E-6	1.909542137	0.196865152	2.13E-6	4.740436516	10.93506026	34.378935	1596	41.777157	1835	40.657284	2435	31.274307	2204	10.16160359	9.97673021	10.38359303	10.23554168	10.70327976	10.85405259	10.83525762	10.59174235	NM_001315,NM_139012,NM_139013,NM_139014	5.517584973	0.169155809	5.517584973
ENSG00000112679	DUSP22	MO000176197,MO000176198	NaN		dual specificity phosphatase 22	DUSP22	56940	7.911669921	4.88398	191	6.574611	307	6.660118	262	4.099611	203	286.4539596	0.002344593	1.376676042	0.138499247	8.68761E-4	3.329903354	8.375524021	8.819336	293	7.365097	261	8.669582	429	9.150021	401	7.98005043	8.08829799	8.02823359	7.94952166	8.29978088	8.22549459	8.38986841	8.18560763	NM_001286555,NM_020185,NR_104473,NR_104474,NR_104475	7.657398934	0.060575935	7.657398934
ENSG00000114166	KAT2B	MO000056491	NaN		lysine acetyltransferase 2B	KAT2B	8850	9.083708833	11.00778	593	4.99569	435	11.178788	777	4.68255	320	451.4084062	0.09808855	-1.505569321	0.312823674	0.059155655	-1.887034725	8.492776542	4.757254	248	7.266968	357	5.051556	347	7.139129	566	9.19651094	8.63394133	9.21077291	8.57903217	8.4250292	8.74178568	8.4714171	8.72809997	NM_003884	1.710146947	0.345544745	-1.710146947
ENSG00000114316	USP4	MO000193609	4.757642306645958	Q13107	ubiquitin specific peptidase 4	USP4	7375	9.593132241	14.137563	629	13.236665	974	12.663946	737	12.655782	730	730.9408725	0.157827951	-1.119793489	0.10015615	0.103147567	-1.629782058	9.429449326	13.390561	589	13.548584	561	13.75349	794	13.997863	947	9.54606892	9.63028335	9.4643837	9.58806101	9.4570424	9.43962609	9.47615042	9.47845513	NM_001251877,NM_003363,NM_199443	2.312334285	0.070786874	-2.312334285
ENSG00000115594	IL1R1	MO000039099	NaN		interleukin 1 receptor type 1	IL1R1	3554	11.50116625	58.689584	3320	30.506427	2719	49.862862	3521	24.981507	1770	1763.203479	1.27E-9	-4.617584533	0.344753448	1.53E-10	-6.402077739	9.294058534	13.600372	714	6.666315	338	13.239322	949	7.316092	593	11.41086247	10.8958733	11.2197774	10.72230526	10.00882585	9.49690529	10.01533363	9.55082711	NM_000877,NM_001288706,NM_001320978,NM_001320980,NM_001320981,NM_001320982,NM_001320983,NM_001320984,NM_001320985,NM_001320986	7.10383729	0.310692324	-7.10383729
ENSG00000116030	SUMO1	MO000019973,MO000020010	278.7445194417527	P63165	small ubiquitin-like modifier 1	SUMO1	7341	10.56821347	71.54673	1172	61.775427	1698	77.222694	1661	70.278375	1495	1533.455854	0.82023038	1.02064483	0.096033756	0.758854844	0.306984929	10.59678689	78.568641	1247	84.779934	1263	82.961615	1769	92.911507	2258	10.51515033	10.54168538	10.59469025	10.63746663	10.53404005	10.56845728	10.59684079	10.65761015	NM_001005781,NM_001005782,NM_003352	0.523092844	0.054623993	0.523092844
ENSG00000116478	HDAC1	MO000023575	263.6052229299427	Q13547	histone deacetylase 1	HDAC1	3065	10.19447627	42.906948	1001	35.686726	1347	43.627151	1314	33.503952	991	1291.376445	0.054075876	1.203916443	0.123255893	0.029841305	2.172190396	10.46248265	49.96365	1129	62.88879	1337	47.089176	1401	58.78344	2019	10.27621179	10.24065107	10.29062739	10.1848361	10.34472478	10.51494774	10.2936916	10.4585582	NM_004964	5.689546373	0.047105052	5.689546373
ENSG00000116584	ARHGEF2	MO000085589	113.91378334327362	Q92974-3	Rho/Rac guanine nucleotide exchange factor 2	ARHGEF2	9181	10.56538589	32.397887	1508	18.580301	1395	32.304855	1944	18.581135	1109	2185.049661	0.014842938	1.884025193	0.33793105	0.006847814	2.704155945	11.4791746	73.672296	3403	35.884364	1540	72.745557	4349	34.700056	2408	10.89203994	10.55503086	10.89117046	10.56286842	11.58274025	10.89979916	11.55426028	10.87445599	NM_001162383,NM_001162384,NM_001350110,NM_001350111,NM_001350112,NM_004723	4.757191412	0.192085756	4.757191412
ENSG00000116701	NCF2	MO000161481	NaN		neutrophil cytosolic factor 2	NCF2	4688	4.979486883	0.392566	11	1.293919	57	0.140027	5	1.56612	54	35.53254447	0.778911578	1.251799107	0.866392434	0.708428118	0.373968007	5.304396593	1.8883	50	0.315242	8	2.583088	89	0.392961	16	4.38248729	5.21791108	3.98522203	5.36287902	5.34807435	4.23746854	5.60638794	4.30942507	NM_000433,NM_001127651,NM_001190789,NM_001190794	0.490965003	0.66177774	0.490965003
ENSG00000117676	RPS6KA1	MO000032335,MO000036655	NaN		ribosomal protein S6 kinase A1	RPS6KA1	6195	7.836559659	5.32239	190	4.536252	262	5.093758	235	4.806126	218	355.203424	9.73E-7	2.108420204	0.206096574	1.77E-7	5.221641494	8.912368938	9.34429	323	15.704295	511	9.617859	437	14.252386	749	8.09060191	8.07687665	8.05948348	8.11790992	8.47998992	8.89423562	8.50250297	8.8148604	NM_001006665,NM_001330441,NM_002953	43.61080169	0.024668413	43.61080169
ENSG00000118046	STK11	MO000117253	NaN		serine/threonine kinase 11	STK11	6794	9.155799801	15.372296	562	9.857038	583	14.188358	670	9.294467	431	656.645309	0.039240771	1.302550899	0.16481222	0.020679616	2.313783221	9.537029314	19.838608	702	18.324217	610	18.593229	867	16.573776	892	9.38060554	9.12925972	9.31348899	9.07929348	9.5390478	9.44084595	9.48248334	9.35769019	NM_000455	2.642541832	0.144266217	2.642541832
ENSG00000118689	FOXO3	MO000020701	0.36812263616642615	O43524	forkhead box O3	FOXO3	2309	10.93081954	24.336546	1992	12.550423	1661	25.396983	2680	12.813606	1331	1319.601684	8.91E-7	-2.841150585	0.287547809	1.61E-7	-5.239042862	9.424359763	8.718572	692	6.114947	457	9.52556	995	5.806454	701	10.83641638	10.3596233	10.87614534	10.37537742	9.87519488	9.57947305	9.94525406	9.54279848	NM_001455,NM_201559	5.328141729	0.282736431	-5.328141729
ENSG00000120129	DUSP1	MO000083769	NaN		dual specificity phosphatase 1	DUSP1	1843	11.83238619	175.231476	3955	79.072853	2888	178.525757	5203	77.872635	2229	2717.897391	0.002496358	-2.038287832	0.310377648	9.32876E-4	-3.310025054	10.80499294	83.517143	1826	57.501919	1183	84.749184	2440	59.472488	1978	11.85000994	11.2851079	11.86648159	11.26863547	11.15424737	10.85263745	11.16553183	10.8775162	NM_004417	3.059619526	0.33579118	-3.059619526
ENSG00000120868	APAF1	MO000019792	1.3584079912634195	O14727-4	apoptotic peptidase activating factor 1	APAF1	317	8.89061164	4.198288	337	4.892269	624	4.296988	445	4.804914	490	422.4986281	0.294481689	-1.280771393	0.287714616	0.214658203	-1.240858021	8.532874054	2.710461	211	5.179641	379	2.937836	301	5.906196	698	8.67429917	8.91226025	8.69365245	8.90998747	8.26959091	8.76371982	8.32929126	8.87939768	NM_001160,NM_013229,NM_181861,NM_181868,NM_181869	2.722818052	0.13138505	-2.722818052
ENSG00000120875	DUSP4	MO000032652	0.6620929113377626	Q13115	dual specificity phosphatase 4	DUSP4	1846	10.91540239	10.634348	669	23.672164	2402	35.160826	2848	25.022363	1990	2423.615776	0.21596357	1.509456439	0.411427666	0.148788499	1.443823965	11.50971079	68.543896	4164	34.662634	1982	29.259442	2345	32.684101	3216	10.3413283	11.06230949	11.28184417	11.10574481	11.82779103	11.17782567	11.06212977	11.18379372	NM_001394,NM_057158	1.430992265	0.415312098	1.430992265
ENSG00000121022	COPS5	MO000022093,MO000031213,MO000071150	118.24119585634475	Q92905	COP9 signalosome subunit 5	COPS5	10987	9.11673832	26.562943	441	23.427389	630	29.592831	635	23.799049	502	558.31378	0.949489719	1.011617454	0.169681047	0.921768076	0.098206808	9.133080112	24.05117	387	36.366596	551	26.031773	552	35.851231	877	9.08276793	9.09734344	9.17544083	9.10767314	8.94327152	9.26222639	9.00733478	9.25176257	NM_006837	0.398113356	0.041048088	0.398113356
ENSG00000123374	CDK2	MO000021736,MO000021740	218.76822164939668	P24941	cyclin dependent kinase 2	CDK2	1017	8.879959463	9.587062	246	18.510324	769	9.924995	329	17.282131	563	667.5312483	0.04319987	1.833357825	0.384930861	0.023098207	2.271806393	9.75478674	20.392568	499	41.920964	962	20.15474	654	41.294638	1549	8.68940339	9.32407253	8.71446656	9.26227996	9.21137908	9.81706292	9.20685692	9.81679027	NM_001290230,NM_001798,NM_052827	2.554709472	0.34243709	2.554709472
ENSG00000126261	UBA2	MO000020004,MO000020010,MO000085632,MO000085634	151.46253980376412	Q9UBT2	ubiquitin like modifier activating enzyme 2	UBA2	10054	10.81835354	41.627064	1237	50.376842	2423	41.272633	1584	52.236073	1969	1702.929886	0.545782928	-1.128438744	0.233522677	0.45535657	-0.746514675	10.6439878	36.613388	1054	59.10577	1601	39.771454	1508	59.483517	2604	10.61432594	10.9013596	10.60784413	10.92964844	10.45033691	10.82489424	10.51707191	10.83305481	NM_005499	0.989841087	0.176155286	-0.989841087
ENSG00000127191	TRAF2	MO000020146	17.636307388539308	Q12933-3	TNF receptor associated factor 2	TRAF2	7186	6.73234405	2.787562	71	3.732018	154	2.765035	91	3.428179	111	188.4195543	2.41E-8	2.537849133	0.227323812	3.41E-9	5.910539236	8.079557275	8.367749	206	11.702036	271	7.855965	255	10.566385	396	6.90141755	7.21732289	6.89416739	7.15074875	7.70276056	7.97118671	7.64942831	7.88425593	NM_021138	8.042641412	0.167508802	8.042641412
ENSG00000127564	PKMYT1	MO000022408	NaN		membrane associated tyrosine/threonine 1,protein kinase	PKMYT1	9088	6.982781365	1.635331	41	6.228945	245	1.031817	34	6.335829	195	293.3763569	0.003916438	3.637028994	0.588147032	0.001539314	3.167167944	8.846340738	12.759524	300	20.895307	465	11.755778	368	23.588869	825	6.77574067	7.76160925	6.55481153	7.77084369	8.19217128	8.62245768	8.12914122	8.71598566	NM_001258450,NM_001258451,NM_004203,NM_182687	2.902685059	0.642012253	2.902685059
ENSG00000130669	PAK4	MO000085607	97.51679977294273	O96013	p21 (RAC1) activated kinase 4	PAK4	10298	9.009570281	13.482335	367	14.751627	702	13.014888	476	15.015928	518	588.7200449	0.190523073	1.28408418	0.237293812	0.12845465	1.52022415	9.370757991	14.225633	460	26.650723	698	14.920153	552	24.133563	1068	8.95494805	9.21120324	8.95880461	9.15645668	9.10744932	9.49254341	9.03001875	9.44659991	NM_001014831,NM_001014832,NM_001014834,NM_001014835,NM_005884	2.717054741	0.132933542	2.717054741
ENSG00000130758	MAP3K10	MO000022168	NaN		mitogen-activated protein kinase kinase kinase 10	MAP3K10	4294	7.056977642	3.386438	130	2.331799	145	3.106251	154	1.986882	97	132.8565616	0.985895562	-1.004911823	0.289942029	0.980549143	-0.024380449	7.050466355	4.096571	153	2.157576	76	3.841243	188	2.273039	129	7.17678597	6.99000154	7.10663838	6.86352408	7.28051601	6.74730638	7.22215886	6.78369384	NM_002446	0.047378587	0.137431008	-0.047378587
ENSG00000130985	UBA1	MO000019948,MO000089081,MO000119161	3616.8892954825697	P22314	ubiquitin like modifier activating enzyme 1	UBA1	7317	12.70893702	117.235741	4705	143.204044	9270	110.762855	5719	139.620371	7077	6242.204506	0.293390115	-1.156607398	0.168793042	0.213672542	-1.24353014	12.49912094	131.628292	5092	133.127289	4832	130.674248	6637	128.736427	7559	12.52368142	12.81849126	12.47336406	12.79123872	12.55714783	12.53626796	12.54790718	12.51116537	NM_003334,NM_153280	1.176079623	0.178402955	-1.176079623
ENSG00000131196	NFATC1	MO000035653,MO000035654	NaN		nuclear factor of activated T-cells 1	NFATC1	4772	6.628094722	1.977773	101	1.138329	104	1.816175	125	0.886495	61	80.72295535	0.049103514	-1.585337881	0.300106484	0.026747604	-2.215181572	5.966533513	1.189116	60	1.028973	49	1.338503	91	0.730622	56	6.64175122	6.38930975	6.6081597	6.16395096	6.19646332	6.06984878	6.30312819	5.83284485	NM_001278669,NM_001278670,NM_001278672,NM_001278673,NM_001278675,NM_006162,NM_172387,NM_172388,NM_172389,NM_172390	2.985706919	0.221576071	-2.985706919
ENSG00000131508	UBE2D2	MO000032587	1498.3582602933775	P62837	ubiquitin conjugating enzyme E2 D2	UBE2D2	7322	11.33947268	63.488718	1930	64.898422	3201	65.150584	2537	67.912097	2646	2358.363352	0.039970262	-1.219157142	0.123988344	0.021125521	-2.305733624	11.05352174	58.191507	1719	66.981434	1853	57.322387	2228	69.730976	3132	11.19066846	11.33467541	11.20648883	11.37734936	11.06009594	11.14606469	11.04649531	11.18659856	NM_003339,NM_181838	3.082230709	0.092774022	-3.082230709
ENSG00000132155	RAF1	MO000021172	11.984172105543447	P04049	Raf-1 proto-oncogene,serine/threonine kinase	RAF1	5894	10.29965378	28.441586	1039	23.509195	1390	30.505764	1439	24.438406	1132	1370.006222	0.055776156	1.174271726	0.10739045	0.030915024	2.158164765	10.53101399	32.88987	1164	39.540855	1316	33.387932	1555	40.61676	2185	10.34421931	10.30397295	10.40395143	10.33236897	10.40674276	10.53627766	10.4184752	10.56229604	NM_002880	5.497393925	0.042085434	5.497393925
ENSG00000132341	RAN	MO000035101	10696.01408743921	P62826	RAN,member RAS oncogene family	RAN	5901	11.67515614	64.070404	1819	105.364838	4841	67.887398	2489	111.088223	4000	4308.315601	0.038699783	1.63485953	0.30567625	0.02034127	2.319992744	12.38436478	130.805224	3599	204.89446	5302	133.314537	4828	212.950347	8906	11.49467237	12.01330422	11.5392617	12.05523136	12.01604022	12.38488402	12.03149525	12.42297677	NM_001300796,NM_001300797,NM_006325	2.366338782	0.299707145	2.366338782
ENSG00000132906	CASP9	MO000020362,MO000020367	NaN		caspase 9	CASP9	842	6.763413903	3.786977	112	1.640544	92	3.30057	147	1.705577	75	93.00196741	0.11377032	-1.396640477	0.266164426	0.070177548	-1.810762986	6.273585998	1.783555	61	1.779633	56	2.191408	97	2.685656	116	6.82672602	6.39806731	6.84235621	6.42506534	6.31645028	6.27494656	6.45661355	6.46067163	NM_001229,NM_001278054,NM_032996,NR_102732,NR_102733	2.003087243	0.244536481	-2.003087243
ENSG00000133275	CSNK1G2	MO000103380	1.820169725398038	P78368	casein kinase 1 gamma 2	CSNK1G2	1455	9.948470317	24.040003	779	23.770662	1246	23.193747	970	22.860935	939	967.2097792	0.609484358	-1.04450379	0.098128465	0.522069847	-0.640158058	9.886228456	27.06225	849	25.60051	756	26.661642	1102	26.064377	1244	9.8945677	10.00615863	9.86444604	9.96869561	9.93403543	9.85938872	9.92123549	9.87692942	NM_001319	0.952798998	0.06532528	-0.952798998
ENSG00000134057	CCNB1	MO000022448,MO000023615,MO000092591	107.93875597287689	P14635	cyclin B1	CCNB1	891	8.711839061	16.65078	403	10.21034	400	16.874277	527	10.458474	321	1585.754342	5.04E-11	6.564863354	0.393235743	5.07E-12	6.903657749	11.42637414	54.668354	1280	152.385696	3356	54.869587	1691	152.168549	5417	9.45409025	9.2156121	9.46309884	9.22907816	10.36122951	11.30543285	10.36367587	11.30738701	NM_031966	19.87812086	0.136558938	19.87812086
ENSG00000134070	IRAK2	MO000019347,MO000039099	NaN		interleukin 1 receptor associated kinase 2	IRAK2	3656	7.221903977	3.98766	155	1.799276	113	4.817029	241	1.592757	79	294.1611405	0.002090657	2.941426085	0.462481165	7.63839E-4	3.365576594	8.778206927	14.123058	530	5.68369	201	14.996943	740	5.829463	333	7.71563144	7.23693353	7.86496263	7.1624857	8.75826881	7.91584328	8.81448725	7.93886151	NM_001570	4.475815995	0.347713792	4.475815995
ENSG00000135341	MAP3K7	MO000021242	9.80472830566038	O43318	mitogen-activated protein kinase kinase kinase 7	MAP3K7	6885	10.44775347	19.593033	1107	18.133322	1665	20.110783	1471	18.170165	1311	1051.86738	1.59E-22	-1.973890467	0.097236156	6.16E-24	-10.08927106	9.465742002	10.024903	554	11.913409	620	10.559968	765	12.403421	1036	10.22143267	10.2832806	10.24771641	10.28349323	9.6079233	9.7192143	9.64445311	9.74824177	NM_003188,NM_145331,NM_145332,NM_145333	32.56476849	0.030155641	-32.56476849
ENSG00000135476	ESPL1	MO000056297	NaN		extra spindle pole bodies like 1,separase	ESPL1	9700	6.552507076	1.086442	81	1.119491	134	0.867344	83	0.817198	77	303.6237901	1.14E-9	5.467885038	0.381874708	1.38E-10	6.418290766	9.003892057	3.277473	235	9.433592	635	3.753522	354	8.781308	956	7.17769183	7.28936867	7.02281646	7.07641168	7.97222185	8.92005347	8.0892799	8.85472072	NM_012291	20.84311019	0.117611285	20.84311019
ENSG00000135679	MDM2	MO000023311,MO000056625	NaN		MDM2 proto-oncogene	MDM2	4193	10.1343799	6.983703	561	9.611041	1292	8.252037	891	16.434779	1708	915.0815086	0.170778562	-1.590593182	0.422650219	0.113146913	-1.584205714	9.463931346	4.265115	346	5.109716	390	9.585862	1007	11.88712	1440	9.53494636	9.95775253	9.70791346	10.43389375	9.13152445	9.24026179	9.76076287	9.92127282	NM_001145337,NM_001145339,NM_001145340,NM_001278462,NM_002392	1.715452981	0.390828872	-1.715452981
ENSG00000136238	RAC1	MO000019507,MO000161481	4930.566613686957	P63000,P63000-2	ras-related C3 botulinum toxin substrate 1 (rho family,small GTP binding protein Rac1)	RAC1	5879	12.33274448	142.112927	3710	156.901077	6644	145.101062	4899	159.951985	5329	5670.271214	0.074800604	1.198343368	0.129218156	0.043366793	2.020160009	12.59386069	215.504169	5451	206.844177	4924	216.663696	7213	215.365752	8282	12.26842726	12.47338628	12.28740856	12.48960681	12.56158651	12.4974218	12.56530226	12.53454517	NM_006908,NM_018890	2.21327426	0.11797734	2.21327426
ENSG00000136875	PRPF4	MO000087569,MO000256946	200.52450948968112	O43172-2	pre-mRNA processing factor 4	PRPF4	9128	9.10990667	11.324116	370	14.208419	750	11.194735	472	14.878016	616	1034.12611	3.43E-5	2.74306998	0.326795986	8.4E-6	4.454740854	10.56579051	27.200026	851	57.195027	1699	27.110279	1117	57.800511	2774	9.25896159	9.54086647	9.24993601	9.57522227	9.89569949	10.55073206	9.89241052	10.56359256	NM_001244926,NM_001322266,NM_001322267,NM_004697,NR_136265,NR_136266	8.277718393	0.175879846	8.277718393
ENSG00000136997	MYC	MO000056483	NaN		MYC proto-oncogene,bHLH transcription factor	MYC	4609	10.52418463	29.170794	770	55.614292	2375	28.605297	975	54.58989	1827	3099.902382	1.24E-5	3.209644523	0.358962072	2.77E-6	4.686883816	12.20676082	201.579361	5152	122.570396	2947	196.880066	6625	123.243462	4790	10.55076384	11.1444151	10.5375165	11.12568133	12.10482258	11.61161424	12.08154383	11.61940188	NM_002467	4.930055735	0.341289486	4.930055735
ENSG00000137693	YAP1	MO000042300,MO000088968	559.3388953343227	P46937	Yes associated protein 1	YAP1	10413	11.94226988	56.087698	3312	46.141254	4449	56.292467	4231	48.381741	3598	4030.077381	0.282335348	1.048586146	0.053905587	0.204181816	1.269727212	12.01011618	61.376974	3487	63.308674	3417	62.508521	4675	66.276579	5713	11.9711555	11.93351873	11.96252877	11.95658566	11.98133922	11.98782551	11.99623729	12.01955676	NM_001130145,NM_001195044,NM_001195045,NM_001282097,NM_001282098,NM_001282099,NM_001282100,NM_001282101,NM_006106	4.21290928	0.016104382	4.21290928
